erythromycin stearate||erythromycin|stearic acid
maxacalcitol betamethasone butyrate propionate||maxacalcitol|betamethasone|butyric acid
estradiol levonorgestrel||levonorgestrel|estradiol
estradiol propionic acid ester||propanoic acid|estradiol
123i-iodine amphetamine||iodine|amphetamine
estriol propionic acid ester||propanoic acid|estriol
retinol palmitate||vitamin a|palmitic acid
methionine preparation||methionine|n-acetylmethionine
riboflavin butyrate||riboflavin|butyric acid
ethinyl estradiol norethisterone||estradiol|norethisterone|ethinyl estradiol
ethinyl estradiol-based preparation||estradiol|ethinyl estradiol
methyl salicylate dl-menthol||menthol|methyl salicylate
bopindolol malonate||bopindolol|malonic acid
brivanib alaninate or placebo||brivanib alaninate|brivanib
bromelain tocopherol acetate||bromelains|alpha-tocopherol acetate|tocopherol
methylthioninium chloride hydrate||methylthioninium|methylene blue
budesonide formoterol fumarate hydrate||formoterol|budesonide
fibrinogen factor xiii (1)||fibrinogen human|coagulation factor x human
fibrinogen factor xiii (2)||fibrinogen human|coagulation factor x human
fibrinogen factor xiii (3)||fibrinogen human|coagulation factor x human
flavin adenine dinucleotide sodium||flavin adenine dinucleotide|adenine
morphine atropine||atropine|morphine
fluphenazine decanoic acid ester||capric acid|fluphenazine
formalin cresol||formaldehyde|cresol
formalin guaiacol||formaldehyde|guaiacol
fosravuconazole l-lysine ethanol||ethanol|l-lysine
fosravuconazole l-lysine ethanol adduct||ethanol|l-lysine
candesartan cilexetil hydroclo||candesartan|candesartan cilexetil
furosemide reserpine||furosemide|reserpine
nandrolone frill propionic acid ester||nandrolone|propanoic acid
galactose-palmitic acid mixture||palmitic acid|galactose
natural aluminum silicate||silicon dioxide|aluminium
carteolol hydrochloride latanoprost||carteolol|latanoprost
serotonin noradrenaline reuptake inhibitor (snri)||serotonin|norepinephrine
cefoperazone sodium sulbactamna||cefoperazone|sulbactam
nicotinamide papaverine||nicotinamide|papaverine
nicotinamide papaverine hydrochloride||nicotinamide|papaverine
glucose vitamin b1||thiamine|glucose
aceglutamide aluminum||aluminium|aceglutamide
glycerin-fructose||fructose|glycerin
acetaminophen-diphenhydramine||acetaminophen|diphenhydramine
glycyrrhizin_glycine_cysteine combined drug||glycine|glycyrrhizic acid|l-cysteine
norethisterone ethinyl estradiol||estradiol|norethisterone|ethinyl estradiol
norethisterone mestranol (3)||mestranol|norethisterone
norgestrel ethinyl estradiol||estradiol|norgestrel|ethinyl estradiol
chloramphenicol colistin sodium methanesulfonate||chloramphenicol|colistin
chloramphenicol palmitic acid ester||chloramphenicol|palmitic acid
guaiacol parachlorophenol||parachlorophenol|guaiacol
adenosine triphosphate disodium||atp|adenosine
adenosine triphosphate disodium hydrate||atp|adenosine
chlorphenesin carbamic acid ester||chlorphenesin|carbamic acid
haloperidol decanoic acid ester||haloperidol|capric acid
chlorpromazine phenol phthalate||chlorpromazine|phenol
sodium iodide (123i)||iodide|sodium iodide
sodium iodide (131i)||iodide|sodium iodide
opium alkaloid atropine||opium|atropine
sodium riboflavin phosphate||flavin mononucleotide|riboflavin
opium alkaloid scopolamine||opium|scopolamine
solvent degreased soybean carbonization tar||activated charcoal|soybean
aluminium hydroxide gel||aluminium|aluminum hydroxide
aluminum flufenamic acid||aluminium|flufenamic acid
aluminum hydroxide gel||aluminium|aluminum hydroxide
clobetasone butyrate||clobetasone|butyric acid
hydrocortisone butyrate||hydrocortisone|butyric acid
hydrocortisone crotamiton||hydrocortisone|crotamiton
hydrocortisone propionate butyrate||hydrocortisone|butyric acid
hydrocortisone sodium phosphate||hydrocortisone|sodium phosphate
colistin methanesulfonate sodium tetracycline hydrochloride||colistin|tetracycline
sulbactam sodium ampicillin nato||ampicillin|sulbactam
outside of fluticasone propionate||fluticasone|fluticasone propionate
sulbactam sodium cefoperazone||cefoperazone|sulbactam
sulbactam-ampicillin||ampicillin|sulbactam
sulfamethoxazole; trimethoprim||sulfamethoxazole|trimethoprim
contains telmisartan and hydrochlorothiazide||telmisartan|hydrochlorothiazide
contains valsartan and amlodipine besilate||amlodipine|valsartan
copper chlorophyllin sodium||copper|chlorophyll a
anti-aldosterone preparations||fidarestat|aldosterone
ibuprofen l-lysine||ibuprofen|l-lysine
synthetic aluminum silicate||silicon dioxide|aluminium
imipenem cilastatin sodium||cilastatin|imipenem
