teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
prossilaridin||proscillaridin|pikaridin|picaridin|brilacidin|procyclidin|prociclidina|pyronaridine|idrossistilbamidina|trifluridin|propamidine
unknowndrug||guanoclorum|fluocinonidum|rainbow trout|flunisolidum|nicorandilum|quinagolidum|amcinonidum|auranofinum|guanoxanum|ginsenoside rg1
propolis||propolis wax|propofol|propanol|propanolol|piprozolin|propofolum|prolina|proline|broccoli|propidine
direct oral anticoagulant||darbepoetin alfa,recombinant|digitalis antitoxin|monoclonal antibody sgn-30|dornase alfa, recombinant|agrostis graniticola top|azadirachta indica leaf|hedera senticosa root|menthyl anthranilate|dimethyl phthalate|lipoprotein ospa antigen recombinant
trace element preparation for high calorie infusion||calendula flower olive oil infusion|recombinant human coagulation factor ix, fc fusion protein|rehmanniae preparata radix et ehizoma|recombinant coagulation factor xiii|trolamine polypeptide oleate condensate|plants and plant parts, henna lawsonia inermis|granulocyte colony stimulating factor 3 (cho cell derived)|n-terminal peptide of human lactoferrin 1-11|allergenic extract- henna lawsonia inermis|activated recombinant human factor vii, long acting
tpa||ditpa|dtp-a|rt-pa|cpad|btpaba|pea|tuna|atp|tmp|tnk-tpa
propagermanium||propafenonum|proguanilum|eprosartanum|procarbazinum|propiomazinum|prajmalium|rapacuronium|drotaverinum|propanididum|sapropterinum
sodium ferrous citrate||sodium citrate|sodium feredetate|sodium ferric edta|sodium zirconium silicate|sodium nitrate|sodium tartrate|sodium merthiolate|sodium ironedetate|sodium fluorophosphate|sodium hydrogen carbonate
human tyrotropin alpha (genetical recombination)||antithrombin gamma (genetical recombination)|agalsidase alfa (genetical recombination)|laronidase (genetical recombination)|insulin lispro (genetical recombination)|alteplase (genetical recombination)|somapacitan (genetical recombination)|somatrem (genetical recombination)|burosumab (genetical recombination)|lenograstim (genetical recombination)|infliximab (genetical recombination)
dipyrone||dipyrine|dipyrithione|dipyrocetyl|diphencyprone|dapsone|diodone|lipamone|piperine|moperone|dantrone
tituzumab||tigatuzumab|abituzumab|lintuzumab|simtuzumab|matuzumab|bivatuzumab|trastuzumab|nimotuzumab|tibulizumab|milatuzumab
sugars||v-sars|sugarcane|sucrose|inosars|sacarosa|squash|meat sugar|wood sugar|iron sugar|sucralose
diprophyllline||diprophylline|diprophyllinum|(±)-diprophylline|doxophylline|proxyphylline|aminophylline|acebrophylline|dyphylline|propicilline|enprofylline
salazosulfasalazine||salazosulfapyridine|sulfasalazine|salazosulfapiridina|sulfasalazin|salazosulfapyridinum|sulfasalazina|salicylazosulfapyridine|sulfasalazinum|silver sulfadiazine|bromosulfamethazine
thyroid stimulating hormone||follicle stimulating hormone|thyrotropic releasing hormone|thyrotropin releasing hormone|recombinant human thyroid stimulating hormone|erythropoiesis stimulating factor|tsh-releasing hormone|thyroid extract, porcine|atrial natriuretic hormone|gonadotropin-releasing hormone|corticotropin-releasing hormone
proimend for intravenous drip infusion||calendula flower olive oil infusion|aprotinin concentrated solution|schisandra chinensis dry fruit|hymenoptera venom diagnostic|rh0(d) immune globulin intravenous (human)|botulism immune globulin intravenous (human)|purified protein derivative of tuberculin|botulism immune globulin intravenous (human) (big-iv)|indian frankincense resin|rosmarinus officinalis preparation
basic solution for high-calorie infusion (7-2)||calendula flower olive oil infusion|coagulation factor viia (recombinant)|coagulation factor ix (recombinant), albumin fusion protein|fc il-2 mutein fusion protein (amg-592)|sheep corticotropin-releasing factor (1-41)|coagulation factor viia recombinant human|fractionated triglyceride of coconut oil|immune-globulin for coronavirus disease (covid-19)|basic ferric sulfate solution|liraglutide (genetical recombination)
